iter	RMSE
0	857274.6002
1	835849.5112
2	816265.2447
3	793740.5205
4	772007.1607
5	750801.0562
6	732265.1936
7	712519.2641
8	695074.9692
9	676242.11
10	661386.9632
11	644161.8298
12	628796.7036
13	612710.4849
14	598242.3983
15	583184.3827
16	570037.8013
17	555634.6344
18	543162.9314
19	532581.2274
20	521095.9022
21	509272.1288
22	497702.006
23	486217.0195
24	474863.2493
25	465817.0989
26	455718.7768
27	446837.102
28	437352.7573
29	427858.8751
30	418620.777
31	410139.5471
32	402534.8108
33	394176.5472
34	386795.4029
35	379027.7842
36	371704.8873
37	364432.0531
38	358831.299
39	352798.5901
40	346639.2711
41	340627.9451
42	335158.2838
43	329550.3204
44	324187.298
45	319051.13
46	314057.7812
47	308909.0586
48	304191.5283
49	298947.946
50	294635.2655
51	290247.9122
52	285519.4633
53	281639.5425
54	276709.3044
55	272230.3774
56	268533.3389
57	264682.6583
58	260921.2852
59	257823.8024
60	254734.7779
61	250498.4985
62	247283.888
63	243744.9498
64	241395.8908
65	237563.385
66	234327.7265
67	231634.7424
68	228680.6574
69	225996.2957
70	223617.6212
71	220356.4367
72	218400.7667
73	216029.4346
74	213694.118
75	211905.0802
76	210371.6161
77	207557.2173
78	204642.2073
79	201986.2713
80	199709.5575
81	197911.8457
82	195526.0075
83	193998.8458
84	192257.1551
85	189968.0397
86	188651.9127
87	187093.0129
88	185334.526
89	183876.9073
90	182854.392
91	180852.3195
92	179179.0833
93	177570.4627
94	175874.0323
95	174828.157
96	172995.6962
97	171711.4647
98	170143.7695
99	168412.7906
100	166908.4198
101	165372.9355
102	163659.5442
103	162411.0292
104	161597.5089
105	160511.8961
106	159769.935
107	159113.5148
108	157272.8205
109	155796.5045
110	154506.0145
111	153102.6029
112	151605.4442
113	150294.7593
114	149139.6893
115	148022.7192
116	147363.7917
117	146616.3382
118	145609.6835
119	144501.0508
120	143389.6613
121	142230.7055
122	141122.0694
123	140615.1333
124	139724.8919
125	138588.2786
126	137707.4293
127	136888.7761
128	135699.1393
129	134629.8492
130	134090.6165
131	133536.0759
132	132658.3992
133	132301.2944
134	131579.8881
135	130977.6692
136	130420.6688
137	129432.6496
138	128600.7487
139	128036.9907
140	127089.1326
141	126071.3464
142	125695.032
143	124554.5607
144	123759.282
145	122914.3642
146	122520.799
147	121425.7839
148	120616.0384
149	120233.8939
150	119496.7424
151	118922.7615
152	118299.4954
153	117575.9194
154	117071.7627
155	116437.269
156	115667.3353
157	115360.4177
158	114776.8025
159	114157.3276
160	113735.1419
161	113310.9325
162	112934.4921
163	112448.8861
164	112160.6575
165	111377.0887
166	110299.6504
167	109786.6776
168	109475.4946
169	108821.4443
170	108222.3612
171	107905.8179
172	107476.2336
173	107207.6406
174	106386.433
175	105449.4078
176	105204.6128
177	104839.7521
178	104072.2915
179	103771.0515
180	103433.3519
181	102920.457
182	102566.5797
183	101924.1317
184	101685.8013
185	101347.9892
186	101021.5965
187	100315.8281
188	99993.72458
189	99420.81388
190	99083.91196
191	98796.39144
192	98310.23706
193	97640.35415
194	97033.76461
195	96566.48348
196	95712.3269
197	95494.88253
198	95115.45861
199	94891.77301
200	94645.24214
201	94336.76795
202	94088.66808
203	93951.05263
204	93699.71408
205	93351.24541
206	93165.17913
207	92900.38174
208	92671.29053
209	92388.93123
210	92134.44977
211	91512.36554
