iter	Passed	Remaining
0	52	52831
1	53	26662
2	53	17940
3	54	13501
4	54	10882
5	55	9140
6	55	7901
7	56	6968
8	56	6236
9	57	5645
10	57	5166
11	57	4753
12	58	4417
13	58	4124
14	59	3874
15	59	3647
16	59	3456
17	60	3289
18	60	3136
19	61	2998
20	61	2867
21	61	2755
22	62	2655
23	62	2561
24	63	2475
25	64	2398
26	64	2323
27	64	2248
28	65	2183
29	65	2129
30	66	2071
31	66	2017
32	67	1967
33	68	1937
34	68	1895
35	69	1860
36	70	1823
37	70	1784
38	70	1746
39	71	1710
40	71	1676
41	72	1643
42	72	1613
43	72	1580
44	72	1549
45	73	1521
46	73	1494
47	74	1470
48	74	1447
49	74	1423
50	75	1401
51	75	1381
52	76	1362
53	76	1344
54	77	1326
55	77	1310
56	78	1292
57	78	1274
58	78	1256
59	79	1240
60	79	1227
61	80	1213
62	80	1202
63	81	1190
64	81	1177
65	82	1164
66	82	1152
67	83	1141
68	83	1129
69	84	1120
70	84	1110
71	85	1099
72	85	1090
73	86	1079
74	86	1069
75	87	1059
76	87	1049
77	87	1040
78	88	1030
79	88	1022
80	89	1015
81	90	1007
82	90	999
83	90	990
84	91	982
85	91	974
86	92	967
87	92	959
88	92	951
89	93	943
90	93	935
91	94	928
92	94	921
93	94	914
94	95	908
95	95	901
96	96	894
97	96	888
98	96	882
99	97	875
100	97	869
101	98	864
102	98	859
103	99	853
104	99	848
105	100	849
106	101	844
107	101	840
108	102	836
109	102	831
110	103	826
111	103	821
112	104	816
113	104	812
114	104	807
115	105	802
116	105	798
117	106	794
118	106	789
119	107	785
120	107	781
121	108	777
122	108	774
123	109	770
124	109	766
125	109	762
126	110	759
127	110	755
128	111	752
129	111	748
130	112	745
131	112	742
132	113	739
133	113	736
134	114	732
135	114	728
136	115	725
137	115	721
138	116	720
139	116	717
140	117	716
141	118	713
142	118	709
143	118	706
144	119	704
145	120	701
146	120	700
147	121	698
148	121	694
149	122	691
150	122	688
151	122	685
152	123	682
153	123	679
154	123	675
155	124	673
156	124	670
157	125	667
158	125	665
159	126	662
160	126	659
161	126	656
162	127	654
163	127	651
164	128	649
165	128	646
166	129	643
167	129	641
168	129	638
169	130	636
170	130	633
171	131	631
172	131	629
173	131	626
174	132	624
175	132	621
176	133	619
177	133	617
178	134	618
179	135	616
180	136	616
181	137	616
182	138	616
183	138	615
184	139	613
185	139	611
186	140	609
187	140	607
188	141	605
189	141	605
190	142	603
191	142	600
192	143	598
193	143	596
194	143	594
195	144	592
196	144	590
197	145	589
198	145	587
199	146	585
200	146	583
201	147	581
202	147	579
203	148	577
204	149	578
205	149	576
206	150	575
207	150	573
208	150	571
209	151	569
210	151	568
211	152	566
212	152	564
213	153	562
214	153	561
215	154	560
216	154	558
217	155	557
218	155	556
219	156	554
220	156	552
221	157	550
222	157	548
223	157	547
224	158	545
225	158	543
226	159	542
227	159	540
228	160	539
229	160	538
230	161	536
231	161	535
232	162	534
233	162	532
234	163	530
235	163	529
236	163	527
237	164	525
238	164	524
239	165	523
240	165	521
241	166	520
242	166	518
243	166	517
244	167	515
245	167	514
246	168	513
247	169	513
248	169	511
249	170	510
250	170	509
251	171	508
252	171	507
253	172	506
254	172	504
255	173	503
256	173	502
257	174	500
258	174	499
259	174	497
260	175	496
261	175	494
262	176	493
263	176	492
264	176	490
265	177	490
266	178	489
267	178	488
268	179	487
269	179	486
270	180	485
271	180	483
272	181	482
273	181	481
274	181	479
275	182	478
276	182	477
277	183	475
278	183	474
279	183	473
280	184	471
281	184	470
282	185	469
283	186	469
284	186	468
285	187	466
286	187	465
287	187	464
288	188	463
289	188	462
290	189	461
291	190	460
292	190	459
293	190	458
294	191	457
295	191	456
296	192	454
297	192	453
298	192	452
299	193	450
300	193	449
301	194	448
302	194	447
303	194	446
304	195	445
305	195	444
306	196	443
307	196	442
308	197	441
309	197	440
310	198	439
311	198	438
312	199	437
313	199	436
314	200	435
315	200	434
316	201	433
317	201	432
318	202	431
319	202	430
320	202	429
321	203	428
322	203	426
323	204	425
324	204	425
325	205	424
326	206	424
327	207	424
328	207	423
329	208	422
330	208	421
331	208	420
332	209	419
333	209	418
334	210	416
335	210	415
336	210	415
337	211	414
338	212	413
339	212	412
340	212	411
341	213	410
342	213	409
343	214	408
344	214	407
345	214	406
346	215	405
347	215	404
348	216	403
349	216	402
350	217	401
351	217	400
352	217	399
353	218	398
354	218	397
355	219	396
356	219	395
357	219	394
358	220	394
359	221	393
360	221	392
361	221	390
362	222	390
363	223	389
364	224	390
365	224	389
366	225	388
367	225	387
368	226	387
369	226	386
370	227	385
371	227	384
372	228	383
373	228	383
374	229	382
375	229	381
376	230	380
377	230	379
378	230	378
379	231	377
380	231	376
381	232	376
382	233	375
383	233	374
384	234	373
385	234	372
386	234	372
387	235	371
388	235	370
389	236	370
390	237	369
391	237	368
392	238	367
393	238	366
394	238	366
395	239	365
396	240	364
397	240	364
398	241	363
399	242	363
400	242	362
401	242	361
402	243	360
403	244	360
404	244	359
405	244	358
406	245	357
407	245	356
408	246	355
409	246	354
410	247	354
411	247	353
412	247	352
413	248	351
414	248	350
415	249	349
416	249	348
417	250	348
418	250	347
419	251	346
420	251	345
421	251	344
422	252	343
423	252	343
424	252	342
425	253	341
426	253	340
427	254	339
428	254	339
429	255	338
430	255	337
431	256	337
432	257	337
433	258	336
434	258	335
435	258	334
436	259	334
437	259	333
438	260	332
439	260	331
440	261	331
441	261	330
442	262	329
443	262	328
444	263	328
445	263	327
446	263	326
447	264	325
448	264	324
449	264	323
450	265	323
451	265	322
452	266	321
453	266	321
454	267	320
455	267	319
456	268	318
457	269	318
458	269	317
459	270	317
460	270	316
461	271	315
462	271	315
463	272	314
464	272	313
465	272	312
466	273	311
467	273	311
468	274	310
469	274	310
470	275	309
471	275	308
472	276	307
473	276	306
474	276	306
475	277	305
476	277	304
477	278	303
478	278	303
479	279	302
480	279	301
481	280	300
482	280	300
483	280	299
484	281	298
485	281	297
486	282	297
487	282	296
488	282	295
489	283	295
490	284	294
491	284	294
492	285	293
493	285	292
494	286	291
495	286	291
496	287	290
497	287	289
498	287	289
499	288	288
500	288	287
501	289	286
502	289	286
503	290	285
504	290	285
505	291	284
506	292	284
507	292	283
508	293	282
509	293	282
510	294	281
511	294	280
512	295	280
513	295	279
514	296	278
515	296	278
516	297	277
517	297	276
518	297	276
519	298	275
520	298	274
521	299	273
522	299	273
523	300	272
524	300	271
525	300	271
526	301	270
527	301	269
528	302	269
529	302	268
530	303	267
531	303	266
532	303	266
533	304	265
534	304	264
535	305	264
536	305	263
537	306	263
538	307	262
539	307	262
540	308	261
541	309	261
542	309	260
543	310	259
544	310	259
545	310	258
546	311	257
547	312	257
548	312	256
549	313	256
550	313	255
551	314	254
552	314	254
553	314	253
554	315	252
555	315	251
556	315	251
557	316	250
558	316	249
559	317	249
560	317	248
561	318	247
562	318	247
563	319	246
564	319	246
565	320	245
566	320	244
567	321	244
568	321	243
569	322	242
570	322	242
571	323	241
572	323	241
573	323	240
574	324	239
575	324	238
576	325	238
577	325	237
578	326	237
579	327	236
580	327	236
581	327	235
582	328	234
583	328	234
584	329	233
585	329	232
586	329	232
587	330	231
588	330	230
589	330	229
590	331	229
591	331	228
592	331	227
593	332	227
594	332	226
595	332	225
596	333	225
597	333	224
598	334	223
599	334	223
600	335	222
601	335	221
602	335	221
603	336	220
604	336	219
605	337	219
606	337	218
607	337	217
608	338	217
609	338	216
610	338	215
611	339	215
612	339	214
613	340	213
614	340	213
615	341	212
616	342	212
617	342	211
618	343	211
619	343	210
620	344	210
621	344	209
622	344	208
623	345	208
624	345	207
625	346	206
626	346	206
627	347	205
628	347	204
629	347	204
630	348	203
631	348	202
632	349	202
633	349	201
634	349	201
635	350	200
636	350	199
637	351	199
638	351	198
639	351	197
640	352	197
641	352	196
642	353	196
643	353	195
644	354	194
645	354	194
646	354	193
647	355	192
648	355	192
649	356	191
650	356	191
651	356	190
652	357	189
653	357	189
654	358	188
655	358	187
656	358	187
657	359	186
658	359	186
659	360	185
660	360	184
661	361	184
662	361	183
663	362	183
664	362	182
665	363	182
666	363	181
667	363	180
668	364	180
669	365	179
670	365	179
671	366	178
672	366	178
673	366	177
674	367	176
675	367	176
676	368	175
677	368	174
678	368	174
679	369	173
680	369	173
681	370	172
682	370	171
683	370	171
684	371	170
685	371	170
686	372	169
687	372	168
688	372	168
689	373	167
690	373	167
691	374	166
692	374	165
693	375	165
694	375	164
695	375	164
696	376	163
697	376	163
698	377	162
699	377	161
700	378	161
701	378	160
702	379	160
703	379	159
704	380	159
705	380	158
706	381	157
707	381	157
708	381	156
709	382	156
710	382	155
711	382	154
712	383	154
713	383	153
714	383	153
715	384	152
716	384	151
717	385	151
718	385	150
719	385	150
720	386	149
721	386	148
722	387	148
723	387	147
724	387	147
725	388	146
