,id,home_id,date,value,address,bedrooms,bathrooms,sq_ft,year_built,for_sale,current_price,zillow_url,last_modified
0,0,0,1552431789501,186980,"5103 Merritt Dr, Austin, TX 78744",4,6.0,1357.0,1980,True,400000,https://www.zillow.com/homedetails/5103-Merritt-Dr-Austin-TX-78744/29489306_zpid/,2021-03-12 17:02:46.306965
1,1,0,1520895789501,139747,"5103 Merritt Dr, Austin, TX 78744",4,6.0,1357.0,1980,True,400000,https://www.zillow.com/homedetails/5103-Merritt-Dr-Austin-TX-78744/29489306_zpid/,2021-03-12 17:02:46.306965
2,2,0,1489359789501,102193,"5103 Merritt Dr, Austin, TX 78744",4,6.0,1357.0,1980,True,400000,https://www.zillow.com/homedetails/5103-Merritt-Dr-Austin-TX-78744/29489306_zpid/,2021-03-12 17:02:46.306965
3,3,0,1457827389501,84565,"5103 Merritt Dr, Austin, TX 78744",4,6.0,1357.0,1980,True,400000,https://www.zillow.com/homedetails/5103-Merritt-Dr-Austin-TX-78744/29489306_zpid/,2021-03-12 17:02:46.306965
4,4,0,1426201389501,66318,"5103 Merritt Dr, Austin, TX 78744",4,6.0,1357.0,1980,True,400000,https://www.zillow.com/homedetails/5103-Merritt-Dr-Austin-TX-78744/29489306_zpid/,2021-03-12 17:02:46.306965
5,5,0,1394665389501,56895,"5103 Merritt Dr, Austin, TX 78744",4,6.0,1357.0,1980,True,400000,https://www.zillow.com/homedetails/5103-Merritt-Dr-Austin-TX-78744/29489306_zpid/,2021-03-12 17:02:46.306965
6,6,0,1363129389501,48600,"5103 Merritt Dr, Austin, TX 78744",4,6.0,1357.0,1980,True,400000,https://www.zillow.com/homedetails/5103-Merritt-Dr-Austin-TX-78744/29489306_zpid/,2021-03-12 17:02:46.306965
7,7,0,1331593389501,47270,"5103 Merritt Dr, Austin, TX 78744",4,6.0,1357.0,1980,True,400000,https://www.zillow.com/homedetails/5103-Merritt-Dr-Austin-TX-78744/29489306_zpid/,2021-03-12 17:02:46.306965
8,8,0,1299974589501,68825,"5103 Merritt Dr, Austin, TX 78744",4,6.0,1357.0,1980,True,400000,https://www.zillow.com/homedetails/5103-Merritt-Dr-Austin-TX-78744/29489306_zpid/,2021-03-12 17:02:46.306965
9,9,0,1268438589501,68825,"5103 Merritt Dr, Austin, TX 78744",4,6.0,1357.0,1980,True,400000,https://www.zillow.com/homedetails/5103-Merritt-Dr-Austin-TX-78744/29489306_zpid/,2021-03-12 17:02:46.306965
