id,address,bedrooms,bathrooms,sq_ft,year_built,for_sale,current_price,zillow_url,last_modified
1,"100 W 57th St APT 5R, New York, NY 10019",1,6,900,1962,TRUE,185000,https://www.zillow.com/homedetails/100-W-57th-St-APT-5R-New-York-NY-10019/2078079062_zpid/,25:00.5
2,"12 E 63rd St, New York, NY 10065",20,,13000,1910,TRUE,65000000,https://www.zillow.com/homedetails/12-E-63rd-St-New-York-NY-10065/2099424678_zpid/,25:01.7
3,"221-27 113th Dr, Queens Village, NY 11429",4,6,,1935,TRUE,599000,https://www.zillow.com/homedetails/221-27-113th-Dr-Queens-Village-NY-11429/2072490773_zpid/,25:02.5
4,"105-14 134th St, South Richmond Hill, NY 11419",3,6,1264,1920,TRUE,389000,https://www.zillow.com/homedetails/105-14-134th-St-South-Richmond-Hill-NY-11419/2073091889_zpid/,25:03.4
5,"303 E 57th St APT 32B, New York, NY 10022",2,6,1800,1968,TRUE,445000,https://www.zillow.com/homedetails/303-E-57th-St-APT-32B-New-York-NY-10022/119912033_zpid/,25:04.2
6,"18-70 211th St APT 2D, Bayside, NY 11360",3,6,1400,1959,TRUE,379000,https://www.zillow.com/homedetails/18-70-211th-St-APT-2D-Bayside-NY-11360/89139258_zpid/,25:05.4
7,"8829 183rd St, Jamaica, NY 11423",3,6,1632,1930,TRUE,250000,https://www.zillow.com/homedetails/8829-183rd-St-Jamaica-NY-11423/32135323_zpid/,25:06.1
8,"10218 Russell St, Jamaica, NY 11414",2,,,1925,TRUE,329000,https://www.zillow.com/homedetails/10218-Russell-St-Jamaica-NY-11414/32218247_zpid/,25:07.2
9,"100 W 57th St #11R, New York, NY 10019",1,6,900,1962,TRUE,215000,https://www.zillow.com/homedetails/100-W-57th-St-11R-New-York-NY-10019/2078461494_zpid/,25:08.0
10,"106-43 156th St, Jamaica, NY 11433",8,6,2200,1931,TRUE,460000,https://www.zillow.com/homedetails/106-43-156th-St-Jamaica-NY-11433/2073914665_zpid/,25:08.9
11,"755 Oakland Pl APT 4C, Bronx, NY 10457",1,6,580,1907,TRUE,50000,https://www.zillow.com/homedetails/755-Oakland-Pl-APT-4C-Bronx-NY-10457/2072913084_zpid/,25:09.8
12,"81 Milford St, Brooklyn, NY 11208",5,6,1152,1910,TRUE,499000,https://www.zillow.com/homedetails/81-Milford-St-Brooklyn-NY-11208/30643606_zpid/,25:10.9
13,"295 Skyline Dr #C, Staten Island, NY 10304",3,6,,2001,TRUE,348000,https://www.zillow.com/homedetails/295-Skyline-Dr-C-Staten-Island-NY-10304/2078655685_zpid/,25:11.8
14,"111 W 57th St PENTHOUSE 72, New York, NY 10019",1,,7130,2020,TRUE,66000000,https://www.zillow.com/homedetails/111-W-57th-St-PENTHOUSE-72-New-York-NY-10019/2077908081_zpid/,25:12.7
15,"150 Sullivan St APT 19, New York, NY 10012",2,6,20190,1900,TRUE,495000,https://www.zillow.com/homedetails/150-Sullivan-St-APT-19-New-York-NY-10012/244892508_zpid/,25:13.5
16,"416 College Ave, Staten Island, NY 10314",4,6,,1920,TRUE,699900,https://www.zillow.com/homedetails/416-College-Ave-Staten-Island-NY-10314/32282456_zpid/,25:14.3
17,"5303 Fillmore Ave, Brooklyn, NY 11234",5303,6,1278,1955,TRUE,550000,https://www.zillow.com/homedetails/5303-Fillmore-Ave-Brooklyn-NY-11234/30784604_zpid/,25:15.4
18,"205 E 63rd St APT 15D, New York, NY 10065",2,6,,1963,TRUE,550000,https://www.zillow.com/homedetails/205-E-63rd-St-APT-15D-New-York-NY-10065/2078579913_zpid/,25:16.6
19,"281 Wyona St, Brooklyn, NY 11207",9,6,3075,1901,TRUE,499900,https://www.zillow.com/homedetails/281-Wyona-St-Brooklyn-NY-11207/30634354_zpid/,25:17.6
20,"116 E 70th St, New York, NY 10021",5,,6500,1901,TRUE,23000000,https://www.zillow.com/homedetails/116-E-70th-St-New-York-NY-10021/31534975_zpid/,25:18.5
21,"131-16 115th Ave, South Ozone Park, NY 11420",3,6,,1925,TRUE,235000,https://www.zillow.com/homedetails/131-16-115th-Ave-South-Ozone-Park-NY-11420/2080380845_zpid/,25:19.4
22,"432 Park Ave #82, New York, NY 10022",4,,8054,2015,TRUE,90000000,https://www.zillow.com/homedetails/432-Park-Ave-82-New-York-NY-10022/2078304565_zpid/,25:20.8
23,"96 Crowell Ave, Staten Island, NY 10314",96,,,1925,TRUE,829900,https://www.zillow.com/homedetails/96-Crowell-Ave-Staten-Island-NY-10314/32281344_zpid/,25:22.2
24,"421 Riedel Ave, Staten Island, NY 10306",2,6,1702,1975,TRUE,550000,https://www.zillow.com/homedetails/421-Riedel-Ave-Staten-Island-NY-10306/32343067_zpid/,25:23.1
25,"4225 Gunther Ave, Bronx, NY 10466",3,6,1362,1925,TRUE,539000,https://www.zillow.com/homedetails/4225-Gunther-Ave-Bronx-NY-10466/29836992_zpid/,25:24.0
26,"420 E 51st St APT 3D, New York, NY 10022",2,6,1250,1962,TRUE,425000,https://www.zillow.com/homedetails/420-E-51st-St-APT-3D-New-York-NY-10022/123950252_zpid/,25:24.9
27,"2090 Madison Ave APT 3E, New York, NY 10037",1,6,750,1920,TRUE,310000,https://www.zillow.com/homedetails/2090-Madison-Ave-APT-3E-New-York-NY-10037/88887595_zpid/,25:26.2
28,"301 E 61st St #19A, New York, NY 10065",4,,2900,2017,TRUE,9500000,https://www.zillow.com/homedetails/301-E-61st-St-19A-New-York-NY-10065/300195837_zpid/,25:27.0
29,"1301 Saint Johns Pl, Brooklyn, NY 11213",4,,,2006,TRUE,550000,https://www.zillow.com/homedetails/1301-Saint-Johns-Pl-Brooklyn-NY-11213/79708100_zpid/,25:28.1
30,"112-50 Northern Blvd #6B, Corona, NY 11368",2,6,,1953,TRUE,195000,https://www.zillow.com/homedetails/112-50-Northern-Blvd-6B-Corona-NY-11368/2078635345_zpid/,25:28.9
31,"419 W 55th St APT 4C, New York, NY 10019",2,,1300,1911,TRUE,1150000,https://www.zillow.com/homedetails/419-W-55th-St-APT-4C-New-York-NY-10019/72538814_zpid/,25:29.7
32,"123 E 61st St, New York, NY 10065",123,6,9300,1900,TRUE,18800000,https://www.zillow.com/homedetails/123-E-61st-St-New-York-NY-10065/31534377_zpid/,25:30.6
33,"86-29 77th Ave, Ridgewood, NY 11385",2,6,,1940,TRUE,599000,https://www.zillow.com/homedetails/86-29-77th-Ave-Ridgewood-NY-11385/2072831598_zpid/,25:31.3
34,"61 E 77th St, New York, NY 10075",1,6,49000,1920,TRUE,599000,https://www.zillow.com/homedetails/61-E-77th-St-New-York-NY-10075/244840282_zpid/,25:32.2
35,"2911 D Ave, Brooklyn, NY 11226",3,6,2160,1910,TRUE,399000,https://www.zillow.com/homedetails/2911-D-Ave-Brooklyn-NY-11226/2075897556_zpid/,25:33.0
36,"213-43 112th Ave, Queens Village, NY 11429",5,6,,1925,TRUE,699999,https://www.zillow.com/homedetails/213-43-112th-Ave-Queens-Village-NY-11429/2072574406_zpid/,25:33.9
37,"20 W 53rd St, New York, NY 10019",1,,7381,2014,TRUE,39950000,https://www.zillow.com/homedetails/20-W-53rd-St-New-York-NY-10019/122272179_zpid/,25:35.2
38,"499 Davis Ave #1, Staten Island, NY 10310",2,6,2408,1965,TRUE,898000,https://www.zillow.com/homedetails/499-Davis-Ave-1-Staten-Island-NY-10310/2075356594_zpid/,25:36.1
39,"303 E 57th St APT 44G, New York, NY 10022",3,,3300,1968,TRUE,795000,https://www.zillow.com/homedetails/303-E-57th-St-APT-44G-New-York-NY-10022/2076710336_zpid/,25:36.9
40,"4 W 21st St APT 14B, New York, NY 10010",3,6,1674,2006,TRUE,1595000,https://www.zillow.com/homedetails/4-W-21st-St-APT-14B-New-York-NY-10010/72538276_zpid/,25:37.6
41,"100 W 57th St APT 5R, New York, NY 10019",1,6,900,1962,TRUE,185000,https://www.zillow.com/homedetails/100-W-57th-St-APT-5R-New-York-NY-10019/2078079062_zpid/,25:38.5
42,"12 E 63rd St, New York, NY 10065",20,,13000,1910,TRUE,65000000,https://www.zillow.com/homedetails/12-E-63rd-St-New-York-NY-10065/2099424678_zpid/,25:39.4
43,"221-27 113th Dr, Queens Village, NY 11429",4,6,,1935,TRUE,599000,https://www.zillow.com/homedetails/221-27-113th-Dr-Queens-Village-NY-11429/2072490773_zpid/,25:40.5
44,"105-14 134th St, South Richmond Hill, NY 11419",3,6,1264,1920,TRUE,389000,https://www.zillow.com/homedetails/105-14-134th-St-South-Richmond-Hill-NY-11419/2073091889_zpid/,25:41.3
45,"303 E 57th St APT 32B, New York, NY 10022",2,6,1800,1968,TRUE,445000,https://www.zillow.com/homedetails/303-E-57th-St-APT-32B-New-York-NY-10022/119912033_zpid/,25:42.5
46,"18-70 211th St APT 2D, Bayside, NY 11360",3,6,1400,1959,TRUE,379000,https://www.zillow.com/homedetails/18-70-211th-St-APT-2D-Bayside-NY-11360/89139258_zpid/,25:43.6
47,"8829 183rd St, Jamaica, NY 11423",3,6,1632,1930,TRUE,250000,https://www.zillow.com/homedetails/8829-183rd-St-Jamaica-NY-11423/32135323_zpid/,25:44.7
48,"10218 Russell St, Jamaica, NY 11414",2,,,1925,TRUE,329000,https://www.zillow.com/homedetails/10218-Russell-St-Jamaica-NY-11414/32218247_zpid/,25:45.5
49,"100 W 57th St #11R, New York, NY 10019",1,6,900,1962,TRUE,215000,https://www.zillow.com/homedetails/100-W-57th-St-11R-New-York-NY-10019/2078461494_zpid/,25:46.3
50,"106-43 156th St, Jamaica, NY 11433",8,6,2200,1931,TRUE,460000,https://www.zillow.com/homedetails/106-43-156th-St-Jamaica-NY-11433/2073914665_zpid/,25:47.2
51,"755 Oakland Pl APT 4C, Bronx, NY 10457",1,6,580,1907,TRUE,50000,https://www.zillow.com/homedetails/755-Oakland-Pl-APT-4C-Bronx-NY-10457/2072913084_zpid/,25:48.1
52,"81 Milford St, Brooklyn, NY 11208",5,6,1152,1910,TRUE,499000,https://www.zillow.com/homedetails/81-Milford-St-Brooklyn-NY-11208/30643606_zpid/,25:48.9
53,"295 Skyline Dr #C, Staten Island, NY 10304",3,6,,2001,TRUE,348000,https://www.zillow.com/homedetails/295-Skyline-Dr-C-Staten-Island-NY-10304/2078655685_zpid/,25:49.9
54,"111 W 57th St PENTHOUSE 72, New York, NY 10019",1,,7130,2020,TRUE,66000000,https://www.zillow.com/homedetails/111-W-57th-St-PENTHOUSE-72-New-York-NY-10019/2077908081_zpid/,25:50.7
55,"150 Sullivan St APT 19, New York, NY 10012",2,6,20190,1900,TRUE,495000,https://www.zillow.com/homedetails/150-Sullivan-St-APT-19-New-York-NY-10012/244892508_zpid/,25:51.8
56,"416 College Ave, Staten Island, NY 10314",4,6,,1920,TRUE,699900,https://www.zillow.com/homedetails/416-College-Ave-Staten-Island-NY-10314/32282456_zpid/,25:52.6
57,"5303 Fillmore Ave, Brooklyn, NY 11234",5303,6,1278,1955,TRUE,550000,https://www.zillow.com/homedetails/5303-Fillmore-Ave-Brooklyn-NY-11234/30784604_zpid/,25:53.5
58,"205 E 63rd St APT 15D, New York, NY 10065",2,6,,1963,TRUE,550000,https://www.zillow.com/homedetails/205-E-63rd-St-APT-15D-New-York-NY-10065/2078579913_zpid/,25:54.8
59,"281 Wyona St, Brooklyn, NY 11207",9,6,3075,1901,TRUE,499900,https://www.zillow.com/homedetails/281-Wyona-St-Brooklyn-NY-11207/30634354_zpid/,25:55.6
60,"116 E 70th St, New York, NY 10021",5,,6500,1901,TRUE,23000000,https://www.zillow.com/homedetails/116-E-70th-St-New-York-NY-10021/31534975_zpid/,25:56.6
61,"131-16 115th Ave, South Ozone Park, NY 11420",3,6,,1925,TRUE,235000,https://www.zillow.com/homedetails/131-16-115th-Ave-South-Ozone-Park-NY-11420/2080380845_zpid/,25:57.5
