id,address,bedrooms,bathrooms,sq_ft,year_built,for_sale,current_price,zillow_url,last_modified
0,"5103 Merritt Dr, Austin, TX 78744",4,6,1357,1980,True,400000,https://www.zillow.com/homedetails/5103-Merritt-Dr-Austin-TX-78744/29489306_zpid/,2021-03-12 18:26:32.211481
1,"9208 Linkmeadow Dr, Austin, TX 78748",11,6,1343,1998,True,430000,https://www.zillow.com/homedetails/9208-Linkmeadow-Dr-Austin-TX-78748/29504433_zpid/,2021-03-12 18:26:33.436097
2,"15024 Donna Jane Loop, Pflugerville, TX 78660",3,6,1482,2002,True,289900,https://www.zillow.com/homedetails/15024-Donna-Jane-Loop-Pflugerville-TX-78660/60137788_zpid/,2021-03-12 18:26:34.873160
3,"3105 Lacevine Ln, Austin, TX 78735",8,,4208,1994,True,1995000,https://www.zillow.com/homedetails/3105-Lacevine-Ln-Austin-TX-78735/29333113_zpid/,2021-03-12 18:26:35.841578
4,"3704 Grooms St, Austin, TX 78705",3,6,1571,1922,True,725000,https://www.zillow.com/homedetails/3704-Grooms-St-Austin-TX-78705/29399083_zpid/,2021-03-12 18:26:36.853498
5,"15210 Wideleaf Cv, Austin, TX 78724",10,6,1630,2010,True,250000,https://www.zillow.com/homedetails/15210-Wideleaf-Cv-Austin-TX-78724/80097406_zpid/,2021-03-12 18:26:37.828164
6,"9715 Hansford Dr, Austin, TX 78753",4,6,1288,1970,True,249900,https://www.zillow.com/homedetails/9715-Hansford-Dr-Austin-TX-78753/29425519_zpid/,2021-03-12 18:26:39.222489
7,"8716 Panadero Dr, Austin, TX 78747",15,6,2790,2011,True,400000,https://www.zillow.com/homedetails/8716-Panadero-Dr-Austin-TX-78747/89550950_zpid/,2021-03-12 18:26:40.275205
8,"1322 Strickland Dr, Austin, TX 78748",3,6,1655,1995,True,430000,https://www.zillow.com/homedetails/1322-Strickland-Dr-Austin-TX-78748/29506355_zpid/,2021-03-12 18:26:41.306915
9,"1512 Berlin Ln, Austin, TX 78753",2,6,2466,2015,True,459900,https://www.zillow.com/homedetails/1512-Berlin-Ln-Austin-TX-78753/125807820_zpid/,2021-03-12 18:26:42.369983
10,"9609 Vista View Dr, Austin, TX 78750",3,6,2066,1977,True,599000,https://www.zillow.com/homedetails/9609-Vista-View-Dr-Austin-TX-78750/29372676_zpid/,2021-03-12 18:26:43.353074
11,"6100 Montrelia Dr, Austin, TX 78724",2,6,1472,2021,True,295990,https://www.zillow.com/homedetails/6100-Montrelia-Dr-Austin-TX-78724/2072734672_zpid/,2021-03-12 18:26:44.427675
12,"6009 Roderick Dr, Austin, TX 78724",2,6,1472,2021,True,295990,https://www.zillow.com/homedetails/6009-Roderick-Dr-Austin-TX-78724/2072756390_zpid/,2021-03-12 18:26:45.511689
13,"10800 Desert Willow Loop, Austin, TX 78748",4,6,3105,2009,True,469000,https://www.zillow.com/homedetails/10800-Desert-Willow-Loop-Austin-TX-78748/80088782_zpid/,2021-03-12 18:26:46.608927
14,"682 Merion Dr, Austin, TX 78737",3,6,2417,2015,True,595000,https://www.zillow.com/homedetails/682-Merion-Dr-Austin-TX-78737/202137161_zpid/,2021-03-12 18:26:47.911413
15,"12313 Calibri Ln, Austin, TX 78753",3,6,2412,2018,True,399900,https://www.zillow.com/homedetails/12313-Calibri-Ln-Austin-TX-78753/241930548_zpid/,2021-03-12 18:26:49.348833
16,"8026 Baxter Springs Rd, Austin, TX 78745",3,6,1901,2000,True,480000,https://www.zillow.com/homedetails/8026-Baxter-Springs-Rd-Austin-TX-78745/58316311_zpid/,2021-03-12 18:26:50.566654
17,"The Roosevelt Plan, Pioneer Hill",4,6,2320,2021,True,399990,https://www.zillow.com/community/pioneer-hill/2077117432_zpid/,2021-03-12 18:26:52.366283
18,"12013 Buzz Schneider Ln, Austin, TX 78748",3,6,1741,2006,True,375000,https://www.zillow.com/homedetails/12013-Buzz-Schneider-Ln-Austin-TX-78748/80105003_zpid/,2021-03-12 18:26:53.327231
19,"8809 Black Oak St, Austin, TX 78729",8809,6,1608,1984,True,475000,https://www.zillow.com/homedetails/8809-Black-Oak-St-Austin-TX-78729/29565047_zpid/,2021-03-12 18:26:54.737559
20,"8512 Shallot Way, Austin, TX 78748",2,,2232,2008,True,385000,https://www.zillow.com/homedetails/8512-Shallot-Way-Austin-TX-78748/80089083_zpid/,2021-03-12 18:26:55.868783
21,"12712 Cedar St #4, Austin, TX 78732",5,,5781,2019,True,3675000,https://www.zillow.com/homedetails/12712-Cedar-St-4-Austin-TX-78732/125916151_zpid/,2021-03-12 18:26:57.080865
22,"8202 Aloe Cv, Austin, TX 78750",8202,6,3966,1993,True,897500,https://www.zillow.com/homedetails/8202-Aloe-Cv-Austin-TX-78750/29363314_zpid/,2021-03-12 18:26:58.154847
23,"1225 Tetbury Ln, Austin, TX 78748",3,6,1483,1994,True,450000,https://www.zillow.com/homedetails/1225-Tetbury-Ln-Austin-TX-78748/29506372_zpid/,2021-03-12 18:26:59.386363
24,"5717 Wellington Dr, Austin, TX 78723",3,6,1418,1963,True,400000,https://www.zillow.com/homedetails/5717-Wellington-Dr-Austin-TX-78723/29402431_zpid/,2021-03-12 18:27:00.551002
25,"The Denali Plan, Parker Station",2,6,1813,2021,True,358990,https://www.zillow.com/community/parker-station/2084660164_zpid/,2021-03-12 18:27:01.694445
26,"5220 Basswood Ln, Austin, TX 78723",3,6,1228,1966,True,335000,https://www.zillow.com/homedetails/5220-Basswood-Ln-Austin-TX-78723/29398715_zpid/,2021-03-12 18:27:02.587315
27,"8300 Stillwood Ln, Austin, TX 78757",3,6,1472,1960,True,435000,https://www.zillow.com/homedetails/8300-Stillwood-Ln-Austin-TX-78757/29426268_zpid/,2021-03-12 18:27:03.834215
28,"3814 Leafield Dr, Austin, TX 78749",3,6,1600,1980,True,499900,https://www.zillow.com/homedetails/3814-Leafield-Dr-Austin-TX-78749/29494030_zpid/,2021-03-12 18:27:04.921119
29,"1724 Ocallahan Dr, Austin, TX 78748",4,6,1522,2008,True,399987,https://www.zillow.com/homedetails/1724-Ocallahan-Dr-Austin-TX-78748/80105953_zpid/,2021-03-12 18:27:06.143444
30,"4113 Tecate Trl, Austin, TX 78739",4,6,2455,1991,True,629000,https://www.zillow.com/homedetails/4113-Tecate-Trl-Austin-TX-78739/29512686_zpid/,2021-03-12 18:27:07.600192
31,"11613 Maybach Dr, Del Valle, TX 78617",3,6,1201,1996,True,189000,https://www.zillow.com/homedetails/11613-Maybach-Dr-Del-Valle-TX-78617/29470258_zpid/,2021-03-12 18:27:08.780830
32,"The Midland Plan, Forest Bluff",1,,2170,2021,True,303990,https://www.zillow.com/community/forest-bluff/2077808915_zpid/,2021-03-12 18:27:09.776384
33,"12923 Noyes Ln, Austin, TX 78732",12923,6,3482,1999,True,860000,https://www.zillow.com/homedetails/12923-Noyes-Ln-Austin-TX-78732/29359984_zpid/,2021-03-12 18:27:11.196901
34,"600 Swanson Cv, Austin, TX 78748",3,6,1436,1996,True,320000,https://www.zillow.com/homedetails/600-Swanson-Cv-Austin-TX-78748/29510960_zpid/,2021-03-12 18:27:12.284910
35,"1902 Pershing Dr, Austin, TX 78723",3,6,1684,1959,True,575000,https://www.zillow.com/homedetails/1902-Pershing-Dr-Austin-TX-78723/29392427_zpid/,2021-03-12 18:27:13.738729
36,"7715 Shoal Creek Blvd, Austin, TX 78757",3,6,1696,1968,True,695000,https://www.zillow.com/homedetails/7715-Shoal-Creek-Blvd-Austin-TX-78757/29424649_zpid/,2021-03-12 18:27:14.699707
37,"4159 Steck Ave UNIT 101, Austin, TX 78759",3,6,1427,1977,True,343000,https://www.zillow.com/homedetails/4159-Steck-Ave-UNIT-101-Austin-TX-78759/58298467_zpid/,2021-03-12 18:27:15.885270
38,"9209 Magna Carta Loop, Austin, TX 78754",2,6,1848,2004,True,284900,https://www.zillow.com/homedetails/9209-Magna-Carta-Loop-Austin-TX-78754/63320803_zpid/,2021-03-12 18:27:17.159257
39,"5604 Bonnell Vista St #E6, Austin, TX 78731",5604,,1005,1985,True,390000,https://www.zillow.com/homedetails/5604-Bonnell-Vista-St-E6-Austin-TX-78731/2072848923_zpid/,2021-03-12 18:27:18.381590
40,"5103 Merritt Dr, Austin, TX 78744",4,6,1357,1980,True,400000,https://www.zillow.com/homedetails/5103-Merritt-Dr-Austin-TX-78744/29489306_zpid/,2021-03-12 18:27:19.397562
41,"9208 Linkmeadow Dr, Austin, TX 78748",11,6,1343,1998,True,430000,https://www.zillow.com/homedetails/9208-Linkmeadow-Dr-Austin-TX-78748/29504433_zpid/,2021-03-12 18:27:20.426149
42,"15024 Donna Jane Loop, Pflugerville, TX 78660",3,6,1482,2002,True,289900,https://www.zillow.com/homedetails/15024-Donna-Jane-Loop-Pflugerville-TX-78660/60137788_zpid/,2021-03-12 18:27:21.743929
43,"3105 Lacevine Ln, Austin, TX 78735",8,,4208,1994,True,1995000,https://www.zillow.com/homedetails/3105-Lacevine-Ln-Austin-TX-78735/29333113_zpid/,2021-03-12 18:27:22.946593
44,"3704 Grooms St, Austin, TX 78705",3,6,1571,1922,True,725000,https://www.zillow.com/homedetails/3704-Grooms-St-Austin-TX-78705/29399083_zpid/,2021-03-12 18:27:24.288654
45,"15210 Wideleaf Cv, Austin, TX 78724",10,6,1630,2010,True,250000,https://www.zillow.com/homedetails/15210-Wideleaf-Cv-Austin-TX-78724/80097406_zpid/,2021-03-12 18:27:25.334203
46,"9715 Hansford Dr, Austin, TX 78753",4,6,1288,1970,True,249900,https://www.zillow.com/homedetails/9715-Hansford-Dr-Austin-TX-78753/29425519_zpid/,2021-03-12 18:27:26.340631
