id,address,bedrooms,bathrooms,sq_ft,year_built,for_sale,current_price,zillow_url,last_modified
0,"708 Blueberry Trl, Austin, TX 78723",12,6,3068,2020,TRUE,529000,https://www.zillow.com/homedetails/708-Blueberry-Trl-Austin-TX-78723/2072558445_zpid/,54:25.5
1,"3113 Tilmon, Austin, TX 78725",5,6,1795,2018,TRUE,289000,https://www.zillow.com/homedetails/3113-Tilmon-Austin-TX-78725/305428294_zpid/,54:26.6
2,"7108 Sienna Rouge Path, Austin, TX 78744",7108,6,2289,2017,TRUE,469900,https://www.zillow.com/homedetails/7108-Sienna-Rouge-Path-Austin-TX-78744/241938219_zpid/,54:27.4
3,"914 Totis Rd #145, Austin, TX 78748",3,6,2035,2017,TRUE,370000,https://www.zillow.com/homedetails/914-Totis-Rd-145-Austin-TX-78748/251029090_zpid/,54:28.5
4,"2500 S 5th St, Austin, TX 78704",2500,,1744,2017,TRUE,925000,https://www.zillow.com/homedetails/2500-S-5th-St-Austin-TX-78704/29474601_zpid/,54:29.6
5,"14900 Chamberlain Ct, Austin, TX 78724",2,6,2168,2004,TRUE,275000,https://www.zillow.com/homedetails/14900-Chamberlain-Ct-Austin-TX-78724/63227989_zpid/,54:30.9
6,"8924 Villa Norte Dr #VH60, Austin, TX 78726",183,6,2623,2012,TRUE,600000,https://www.zillow.com/homedetails/8924-Villa-Norte-Dr-VH60-Austin-TX-78726/119617769_zpid/,54:32.2
7,"12028 Thompkins Dr, Austin, TX 78753",3,6,1185,1995,TRUE,285000,https://www.zillow.com/homedetails/12028-Thompkins-Dr-Austin-TX-78753/29434889_zpid/,54:33.4
8,"11208 Chatam Berry Ln, Austin, TX 78748",3,6,2292,2003,TRUE,375000,https://www.zillow.com/homedetails/11208-Chatam-Berry-Ln-Austin-TX-78748/64724629_zpid/,54:34.4
9,"2003 Crystal Shore Dr, Austin, TX 78728",3,6,2245,1984,TRUE,391000,https://www.zillow.com/homedetails/2003-Crystal-Shore-Dr-Austin-TX-78728/29447552_zpid/,54:35.4
10,"2110 Brandywine Ln, Austin, TX 78727",4,6,1058,1976,TRUE,285000,https://www.zillow.com/homedetails/2110-Brandywine-Ln-Austin-TX-78727/29440656_zpid/,54:36.5
11,"Kingston Plan, Forest Bluff",2,6,2032,2021,TRUE,298990,https://www.zillow.com/community/forest-bluff/2077808907_zpid/,54:37.5
