id,address,bedrooms,bathrooms,sq_ft,year_built,for_sale,current_price,zillow_url,last_modified
0,"100 W 57th St APT 5R, New York, NY 10019",1,6,900,1962,True,185000,https://www.zillow.com/homedetails/100-W-57th-St-APT-5R-New-York-NY-10019/2078079062_zpid/,2021-03-22 19:25:00.540921
1,"12 E 63rd St, New York, NY 10065",20,,13000,1910,True,65000000,https://www.zillow.com/homedetails/12-E-63rd-St-New-York-NY-10065/2099424678_zpid/,2021-03-22 19:25:01.674233
2,"221-27 113th Dr, Queens Village, NY 11429",4,6,,1935,True,599000,https://www.zillow.com/homedetails/221-27-113th-Dr-Queens-Village-NY-11429/2072490773_zpid/,2021-03-22 19:25:02.512057
3,"105-14 134th St, South Richmond Hill, NY 11419",3,6,1264,1920,True,389000,https://www.zillow.com/homedetails/105-14-134th-St-South-Richmond-Hill-NY-11419/2073091889_zpid/,2021-03-22 19:25:03.398196
4,"303 E 57th St APT 32B, New York, NY 10022",2,6,1800,1968,True,445000,https://www.zillow.com/homedetails/303-E-57th-St-APT-32B-New-York-NY-10022/119912033_zpid/,2021-03-22 19:25:04.205455
5,"18-70 211th St APT 2D, Bayside, NY 11360",3,6,1400,1959,True,379000,https://www.zillow.com/homedetails/18-70-211th-St-APT-2D-Bayside-NY-11360/89139258_zpid/,2021-03-22 19:25:05.388276
6,"8829 183rd St, Jamaica, NY 11423",3,6,1632,1930,True,250000,https://www.zillow.com/homedetails/8829-183rd-St-Jamaica-NY-11423/32135323_zpid/,2021-03-22 19:25:06.125845
7,"10218 Russell St, Jamaica, NY 11414",2,,,1925,True,329000,https://www.zillow.com/homedetails/10218-Russell-St-Jamaica-NY-11414/32218247_zpid/,2021-03-22 19:25:07.155781
8,"100 W 57th St #11R, New York, NY 10019",1,6,900,1962,True,215000,https://www.zillow.com/homedetails/100-W-57th-St-11R-New-York-NY-10019/2078461494_zpid/,2021-03-22 19:25:08.043106
9,"106-43 156th St, Jamaica, NY 11433",8,6,2200,1931,True,460000,https://www.zillow.com/homedetails/106-43-156th-St-Jamaica-NY-11433/2073914665_zpid/,2021-03-22 19:25:08.940702
10,"755 Oakland Pl APT 4C, Bronx, NY 10457",1,6,580,1907,True,50000,https://www.zillow.com/homedetails/755-Oakland-Pl-APT-4C-Bronx-NY-10457/2072913084_zpid/,2021-03-22 19:25:09.785697
11,"81 Milford St, Brooklyn, NY 11208",5,6,1152,1910,True,499000,https://www.zillow.com/homedetails/81-Milford-St-Brooklyn-NY-11208/30643606_zpid/,2021-03-22 19:25:10.927045
12,"295 Skyline Dr #C, Staten Island, NY 10304",3,6,,2001,True,348000,https://www.zillow.com/homedetails/295-Skyline-Dr-C-Staten-Island-NY-10304/2078655685_zpid/,2021-03-22 19:25:11.782966
13,"111 W 57th St PENTHOUSE 72, New York, NY 10019",1,,7130,2020,True,66000000,https://www.zillow.com/homedetails/111-W-57th-St-PENTHOUSE-72-New-York-NY-10019/2077908081_zpid/,2021-03-22 19:25:12.661758
14,"150 Sullivan St APT 19, New York, NY 10012",2,6,20190,1900,True,495000,https://www.zillow.com/homedetails/150-Sullivan-St-APT-19-New-York-NY-10012/244892508_zpid/,2021-03-22 19:25:13.456029
