,home_id,year,market_val_cleaned,assessed_val_cleaned,zip code,ratio,,,,,,,
0,29,2018,219950,168687,78748,1.303894195,,413,2011,439000,288933,78705,1.519383386
1,33,2019,273000,219096,78732,1.246029138,,480,2011,179900,79435,78705,2.26474476
2,33,2013,154200,112157,78732,1.374858457,,4,2017,645000,335368,78705,1.923260418
3,37,2017,229900,199108,78759,1.154649738,,328,2017,149900,206901,78705,0.72450109
4,38,2012,175000,181592,78754,0.963698841,,413,2017,740000,1074505,78705,0.68868921
5,42,2014,775000,705631,78759,1.098307756,,419,2017,282000,75000,78705,3.76
6,42,2010,629000,630517,78759,0.997594038,,259,2018,229900,2917354,78705,0.078804286
7,45,2018,287000,268841,78730,1.067545501,,287,2018,319900,259914,78705,1.230791723
8,45,2014,243050,55361,78730,4.390274742,,150,2019,163500,149724,78705,1.092009297
9,46,2010,399000,278368,78756,1.433354409,,390,2019,395000,208755,78705,1.892170247
10,50,2018,499997,524376,78748,0.953508551,,413,2019,740000,1119531,78705,0.660991076
11,51,2010,329000,305186,78754,1.078031102,,480,2019,310000,66525,78705,4.659902292
12,53,2017,415000,372000,78725,1.115591398,,,,,,,
13,53,2014,385000,304560,78725,1.264118729,,2,2019,357000,323379,78660,1.10396779
14,54,2013,740000,452671,78759,1.634741346,,,,,,,
15,56,2019,60000,30000,78617,2,,97,2010,150000,149136,78753,1.00579337
16,56,2015,39000,30000,78617,1.3,,15,2013,9700000,4709143,78753,2.059822775
17,62,2019,375000,349793,78703,1.07206262,,97,2013,100000,142144,78753,0.703511932
18,62,2009,285000,199130,78703,1.431225832,,6,2014,475000,379370,78753,1.25207581
19,66,2011,205000,215501,78748,0.951271688,,6,2014,449900,379370,78753,1.185913488
20,66,2010,249900,215501,78748,1.159623389,,106,2016,210000,131006,78753,1.602980016
21,67,2013,289000,280104,78731,1.031759632,,214,2018,89000,270500,78753,0.329020333
22,67,2011,320000,280104,78731,1.142432811,,325,2018,89000,451417,78753,0.197156952
23,71,2019,2250000,1636800,78735,1.374633431,,15,2019,14900000,5096400,78753,2.923632368
24,82,2012,199900,154052,78749,1.297613793,,97,2019,495000,255303,78753,1.938872634
25,83,2009,147500,138987,78727,1.061250333,,151,2019,95000,82500,78753,1.151515152
26,84,2017,2257000,1248639,78731,1.80756808,,214,2019,95000,321839,78753,0.295178645
