,home_id,year,market_val,assessed_val,,,,,
0,2,2019,357000,323379,1.10396779,,,1.10396779,0.042956402
1,4,2017,645000,335368,1.923260418,,,1.923260418,0.284038094
2,6,2014,449900,379370,1.185913488,,,1.185913488,0.074053009
3,6,2014,475000,379370,1.25207581,,,1.25207581,0.097630625
4,15,2019,14900000,5096400,2.923632368,,,2.923632368,0.465922761
5,15,2013,9700000,4709143,2.059822775,,,2.059822775,0.313829856
6,21,2010,257000,263021,0.977108292,,,0.977108292,-0.010057301
7,22,2010,1250000,950000,1.315789474,,,1.315789474,0.119186408
8,24,2017,225000,175039,1.285427819,,,1.285427819,0.109047695
9,27,2013,438000,416009,1.052861837,,,1.052861837,0.022371384
10,27,2012,435000,378190,1.1502155,,,1.1502155,0.060779216
11,27,2011,474388,378190,1.254364208,,,1.254364208,0.098423654
12,29,2018,219950,168687,1.303894195,,,1.303894195,0.115242352
13,33,2019,273000,219096,1.246029138,,,1.246029138,0.095528198
14,33,2013,154200,112157,1.374858457,,,1.374858457,0.13825799
15,37,2017,229900,199108,1.154649738,,,1.154649738,0.062450261
16,38,2012,175000,181592,0.963698841,,,0.963698841,-0.016058663
17,42,2014,775000,705631,1.098307756,,,1.098307756,0.04072405
18,42,2010,629000,630517,0.997594038,,,0.997594038,-0.001046155
19,45,2018,287000,268841,1.067545501,,,1.067545501,0.028386395
20,45,2014,243050,55361,4.390274742,,,4.390274742,0.642491699
21,46,2010,399000,278368,1.433354409,,,1.433354409,0.156353587
22,50,2018,499997,524376,0.953508551,,,0.953508551,-0.020675408
23,51,2010,329000,305186,1.078031102,,,1.078031102,0.032631291
24,52,2010,1299,207293,0.006266492,,,1.264118729,0.101787866
25,52,2010,1499,207293,0.00723131,,,1.634741346,0.213449047
26,53,2017,415000,372000,1.115591398,,,0.86671058,-0.062125902
27,53,2014,385000,304560,1.264118729,,,2,0.301029996
28,54,2013,740000,452671,1.634741346,,,1.3,0.113943352
29,55,2018,325000,374981,0.86671058,,,1.424642857,0.153706005
30,56,2019,60000,30000,2,,,1.293661061,0.111820506
31,56,2015,39000,30000,1.3,,,1.07206262,0.030220154
32,60,2015,398900,280000,1.424642857,,,1.431225832,0.155708166
33,60,2014,305000,235765,1.293661061,,,0.951271688,-0.021695429
34,62,2019,375000,349793,1.07206262,,,1.159623389,0.064316966
35,62,2009,285000,199130,1.431225832,,,1.031759632,0.013578532
36,63,2009,1799,249320,0.007215627,,,1.142432811,0.057830668
37,66,2011,205000,215501,0.951271688,,,1.374633431,0.138186902
38,66,2010,249900,215501,1.159623389,,,1.297613793,0.113145453
39,67,2013,289000,280104,1.031759632,,,1.061250333,0.025817839
40,67,2011,320000,280104,1.142432811,,,1.80756808,0.257094664
41,71,2019,2250000,1636800,1.374633431,,,2.000048335,0.301040491
42,82,2012,199900,154052,1.297613793,,,0.841338694,-0.075029137
43,83,2009,147500,138987,1.061250333,,,1.852300271,0.26771139
44,84,2017,2257000,1248639,1.80756808,,,1.690665542,0.228057701
45,84,2016,2400000,1199971,2.000048335,,,1.71331357,0.233836855
46,85,2011,122000,145007,0.841338694,,,2.111513085,0.324593777
47,87,2019,5500000,2969281,1.852300271,,,1.363291546,0.134588742
48,87,2017,6900000,4081233,1.690665542,,,0.84376793,-0.073776985
49,89,2016,269900,157531,1.71331357,,,1.319433781,0.120387599
50,89,2014,274900,130191,2.111513085,,,1.007275769,0.003148387
51,90,2019,224999,165041,1.363291546,,,1.938872634,0.287549281
52,90,2013,75000,88887,0.84376793,,,0.703511932,-0.152728533
53,92,2016,232000,175833,1.319433781,,,1.00579337,0.002508768
54,92,2012,112000,111191,1.007275769,,,0.991093418,-0.003885408
55,97,2019,495000,255303,1.938872634,,,1.152425693,0.061612932
56,97,2013,100000,142144,0.703511932,,,1.152425693,0.061612932
57,97,2010,150000,149136,1.00579337,,,2.423494295,0.384442002
58,98,2011,299000,301687,0.991093418,,,1.602980016,0.204928108
59,99,2013,279900,242879,1.152425693,,,1.166662242,0.066945143
60,99,2013,279900,242879,1.152425693,,,1.252139428,0.097652691
61,102,2018,695000,286776,2.423494295,,,1.252139428,0.097652691
62,106,2016,210000,131006,1.602980016,,,0.937734434,-0.027920136
63,108,2016,835000,715717,1.166662242,,,1.110780114,0.045628096
64,109,2020,299950,239550,1.252139428,,,1.289697716,0.110487931
65,109,2020,299950,239550,1.252139428,,,1.684211597,0.226396653
66,111,2019,2750000,2932600,0.937734434,,,1.091011326,0.037829259
67,111,2016,3725000,3353499,1.110780114,,,1.260989668,0.100711528
68,111,2015,4325000,3353499,1.289697716,,,1.245467388,0.09533236
69,111,2014,5300000,3146873,1.684211597,,,0.961277328,-0.017151301
70,114,2017,260000,238311,1.091011326,,,0.69885742,-0.155611419
71,114,2013,189900,150596,1.260989668,,,0.753115261,-0.123138552
72,115,2018,350000,281019,1.245467388,,,0.878634471,-0.056191762
73,115,2010,169900,176744,0.961277328,,,1.515445331,0.180540274
74,117,2019,2700000,3863449,0.69885742,,,3.186702301,0.503341494
75,117,2018,3000000,3983454,0.753115261,,,1.048761698,0.020676818
76,117,2018,3500000,3983454,0.878634471,,,0.998283987,-0.000745895
77,117,2016,5150000,3398341,1.515445331,,,1.007658202,0.003313244
78,117,2014,8950000,2808546,3.186702301,,,1.199663518,0.079059452
79,119,2015,275000,262214,1.048761698,,,1.208933101,0.082402269
80,119,2010,219900,220278,0.998283987,,,1.329825871,0.123794778
81,122,2010,210000,208404,1.007658202,,,1.106190423,0.043829894
