zip code,overall letter grade,converted overall grade,
78610,B+,88,
78613,A+,98,
78617,C+,78,
78641,A,95,
78652,A-,92,
78653,B,95,
78660,A,95,
78664,A,95,
78681,A+,98,
78701,A+,98,
78702,A,95,
78703,A+,98,
78704,A+,98,
78705,A,95,
78712,A+,98,
78717,A+,98,
78719,C+,78,
78721,B,85,
78722,A+,98,
78723,A-,92,
78724,C+,78,
78725,B-,82,
78726,A+,98,
78727,A+,98,
78728,A,95,
78729,A+,98,
78730,A+,98,
78731,A+,98,
78732,A+,98,
78733,A+,98,
78734,A,95,
78735,A+,98,
78736,A,95,
78737,A,95,
78738,A+,98,
78739,A+,98,
78741,B+,88,
78742,B,85,
78744,B-,82,
78745,A,95,
78746,A+,98,
78747,B+,88,
78748,A,95,
78749,A+,98,
78750,A+,98,
78751,A+,98,
78752,B+,88,
78753,B,85,
78754,A-,92,
78756,A+,98,
78757,A+,98,
10001,A+,98,
10002,A-,92,
10003,A+,98,
10004,A+,98,
10005,A,95,
10006,A+,98,
10007,A+,98,
10009,A,95,
10010,A+,98,
10011,A+,98,
10012,A+,98,
10013,A+,98,
10014,A+,98,
10016,A+,98,
10017,A+,98,
10018,A+,98,
10019,A+,98,
10021,A+,98,
10022,A+,98,
10023,A+,98,
10024,A+,98,
10025,A+,98,
10026,A-,92,
10027,A,95,
10028,A+,98,
10029,B+,88,
10030,B,85,
10031,B+,88,
10032,B+,88,
10033,B+,88,
10034,B,85,
10035,B,85,
10036,A+,98,
10037,B,85,
10038,A+,98,
10039,B-,82,
10040,B,85,
10044,A,95,
10065,A+,98,
10069,A,95,
10075,A+,98,
10128,A+,98,
10162,A+,98,
10280,A+,98,
10282,A,95,
10301,B+,88,
10302,B,85,
10304,B,85,
10305,B+,88,
10306,B,85,
10307,B,85,
10308,B,85,
10309,B,85,
10310,B+,88,
10312,B,85,
10314,B+,88,
10451,B-,82,
10452,C+,78,
10453,C+,78,
10454,C,75,
10455,C,75,
10456,C,75,
10457,C,75,
10458,C+,78,
10459,C,75,
10460,C,75,
10461,B,85,
10462,B,85,
10463,A-,92,
10464,A-,92,
10465,B,85,
10466,C+,78,
10467,C+,78,
10468,C,75,
10469,B-,82,
10470,B,85,
10471,A,95,
10472,C,75,
10473,C+,78,
10474,C-,72,
10475,A-,92,
11004,A-,92,
11005,B,85,
11101,A,95,
11103,A,95,
11104,A,95,
11105,A-,92,
11106,A,95,
11109,A+,98,
11201,A+,98,
11203,C+,78,
11204,B,85,
11205,A,95,
11206,B+,88,
11207,C+,78,
11208,C+,78,
11209,A,95,
11210,B+,88,
11211,A,95,
11212,C,75,
11213,B,85,
11214,B,85,
11215,A+,98,
11216,A-,92,
11217,A+,98,
11218,A-,92,
11219,B-,82,
11220,B,85,
11221,B,85,
11222,A,95,
11223,B+,88,
11224,B+,88,
11225,B+,88,
11226,B,85,
11228,B+,88,
11229,A-,92,
11230,B+,88,
11231,A+,98,
11232,B+,88,
11233,B-,82,
11234,B+,88,
11235,A-,92,
11236,C+,78,
11237,B+,88,
11238,A+,98,
11239,B-,82,
11354,B-,82,
11355,B-,82,
11356,B-,82,
11357,B+,88,
11358,B+,88,
11360,A,95,
11361,A-,92,
11362,A-,92,
11363,A-,93,
11364,B+,88,
11365,B+,88,
11366,A-,92,
11367,A-,92,
11368,C,75,
11369,C,75,
11370,B-,82,
11372,B+,88,
11373,B-,82,
11374,A,95,
11375,A+,98,
11377,B,85,
11378,B,85,
11379,B,85,
11385,B,85,
11411,B-,82,
11412,C+,78,
11413,C+,78,
11414,B-,82,
11415,A,95,
11416,B-,82,
11417,B,85,
11418,B,85,
11419,B-,82,
11420,B-,82,
11422,C+,78,
11423,B,85,
11426,B+,88,
11427,B+,88,
11428,B-,82,
11429,B-,82,
11430,C,75,
11432,B+,88,
11433,C+,78,
11434,C+,78,
11435,B,85,
11436,C+,78,
11691,B-,82,
11692,B-,82,
11693,B+,88,
11694,B+,88,
11697,A-,92,
,,,
10020,,,
10103,,,
10110,,,
10111,,,
10112,,,
10115,,,
10119,,,
10152,,,
10153,,,
10154,,,
10165,,,
10167,,,
10168,,,
10169,,,
10170,,,
10171,,,
10172,,,
10173,,,
10174,,,
10177,,,
10199,,,
10271,,,
10278,,,
10279,,,
10311,,,
11351,,,
11359,,,
11371,,,
11424,,,
11425,,,
11451,,,
